PROGRAMA,SEMESTRE,NOMBRE MODULO
DISENO VISUAL,5,FUNDAMENTOS DE ANIMACION 2D Y MODELADO 3D
DISENO VISUAL,3,FUNDAMENTOS DE LA COMUNICACION
DISENO VISUAL,1,FUNDAMENTOS DEL DISENO 2D Y 3D
DISENO VISUAL,1,GEOMETRIA PARA EL DISENO
DISENO VISUAL,7,GESTION DEL DISENO 1
DISENO VISUAL,7,GESTION DEL DISENO 2
DISENO VISUAL,8,GESTION DEL DISENO 3
DISENO VISUAL,6,GESTION PARA LA EMPRESA
INGENIERIA INFORMATICA,6,ADMINISTRACION DE BASES DE DATOS
INGENIERIA INFORMATICA,7,ADMINISTRACION GENERAL
INGENIERIA INFORMATICA,2,ALGEBRA LINEAL
INGENIERIA INFORMATICA,4,ANALISIS DE REQUISITOS DE SOFTWARE
INGENIERIA INFORMATICA,6,ANALISIS NUMERICO
INGENIERIA INFORMATICA,3,ARQUITECTURA DE COMPUTADORES
INGENIERIA INFORMATICA,6,ARQUITECTURA Y DISENO DE SOFTWARE
INGENIERIA INFORMATICA,7,ASEGURAMIENTO DE LA CALIDAD DEL SOFTWARE Y PRUEBAS
INGENIERIA INFORMATICA,5,BASES DE DATOS
INGENIERIA INFORMATICA,5,BASES DE DATOS Y LABORATORIO
INGENIERIA INFORMATICA,2,CALCULO DIFERENCIAL
INGENIERIA INFORMATICA,3,CALCULO INTEGRAL
INGENIERIA INFORMATICA,5,CONSTRUCCION DE SOFTWARE
INGENIERIA INFORMATICA,10,DESARROLLO PERSONAL - ETICA
INGENIERIA INFORMATICA,2,DESARROLLO PERSONAL - FORMACION DEL SER
INGENIERIA INFORMATICA,1,DESARROLLO PERSONAL - INTRODUCCION A LA INGENIERIA
INGENIERIA INFORMATICA,9,DESARROLLO SOCIAL - CATEDRA DE LA PAZ
INGENIERIA INFORMATICA,3,DESARROLLO SOCIAL - FORMACION CIUDADANA
INGENIERIA INFORMATICA,4,ECUACIONES DIFERENCIALES
INGENIERIA INFORMATICA,6,ELECTIVA I
INGENIERIA INFORMATICA,8,ELECTIVA II
INGENIERIA INFORMATICA,9,ELECTIVA III
INGENIERIA INFORMATICA,9,ELECTIVA IV
INGENIERIA INFORMATICA,10,ELECTIVA V
INGENIERIA INFORMATICA,5,ELECTRONICA DIGITAL
INGENIERIA INFORMATICA,5,ESTADISTICA DESCRIPTIVA
INGENIERIA INFORMATICA,6,ESTADISTICA INFERENCIAL
INGENIERIA INFORMATICA,4,ESTRUCTURAS DE DATOS LINEALES
INGENIERIA INFORMATICA,5,ESTRUCTURAS DE DATOS NO LINEALES
INGENIERIA INFORMATICA,3,FISICA ELECTROMAGNETICA
INGENIERIA INFORMATICA,3,FISICA ELECTROMAGNETICA Y LABORATORIO
INGENIERIA INFORMATICA,2,FISICA MECANICA
INGENIERIA INFORMATICA,2,FISICA MECANICA Y LABORATORIO
INGENIERIA INFORMATICA,8,FORMULACION Y EVALUACION DE PROYECTOS
INGENIERIA INFORMATICA,8,FUNDAMENTOS DE ECONOMIA
INGENIERIA INFORMATICA,1,FUNDAMENTOS DE PROGRAMACION
INGENIERIA INFORMATICA,9,GESTION DE PROYECTOS INFORMATICOS
INGENIERIA INFORMATICA,9,GESTION DE TECNOLOGIA
INGENIERIA INFORMATICA,1,INGLES I
INGENIERIA INFORMATICA,3,INGLES II
INGENIERIA INFORMATICA,4,INGLES III
INGENIERIA INFORMATICA,2,INGLES IV
INGENIERIA INFORMATICA,9,INTELIGENCIA ARTIFICIAL
INGENIERIA INFORMATICA,8,INTERACCION HUMANO COMPUTADOR
INGENIERIA INFORMATICA,3,INTRODUCCION A LA INGENIERIA DE SOFTWARE
INGENIERIA INFORMATICA,6,INVESTIGACION DE OPERACIONES
INGENIERIA INFORMATICA,5,LABORATORIO DE BASES DE DATOS
INGENIERIA INFORMATICA,2,LABORATORIO DE FISICA
INGENIERIA INFORMATICA,3,LABORATORIO DE OBJETOS
INGENIERIA INFORMATICA,1,LABORATORIO DE PROGRAMACION
INGENIERIA INFORMATICA,8,LENGUAJES FORMALES
INGENIERIA INFORMATICA,2,MATEMATICAS DISCRETAS
INGENIERIA INFORMATICA,1,MATEMATICAS GENERALES
INGENIERIA INFORMATICA,8,MERCADEO
INGENIERIA INFORMATICA,8,METODOLOGIA DE LA INVESTIGACION
INGENIERIA INFORMATICA,7,MODELOS DINAMICOS
INGENIERIA INFORMATICA,2,PROGRAMACION ORIENTADA A OBJETOS
INGENIERIA INFORMATICA,5,REDES DE COMPUTADORES
INGENIERIA INFORMATICA,9,SEMINARIO DE GRADO
INGENIERIA INFORMATICA,7,SISTEMAS DISTRIBUIDOS
INGENIERIA INFORMATICA,10,SISTEMAS EXPERTOS
INGENIERIA INFORMATICA,4,SISTEMAS OPERATIVOS
INGENIERIA INFORMATICA,1,TECNICAS DE COMUNICACION
INGENIERIA INFORMATICA,4,TEORIA DE GRAFOS
