MUNICIPIOS,RURAL,,,,,,,,,,,,,,,,,,,,,,,
CANDELARIA,0,,,,,,,,,,,,,,,,,,,,,,,
CANTAGALLO,1,,,,,,,,,,,,,,,,,,,,,,,
CANTON DE SAN PABLO,0,,,,,,,,,,,,,,,,,,,,,,,
CAPARRAPI,1,,,,,,,,,,,,,,,,,,,,,,,
CAPITANEJO,0,,,,,,,,,,,,,,,,,,,,,,,
CAQUEZA,0,,,,,,,,,,,,,,,,,,,,,,,
CARACOLI,1,,,,,,,,,,,,,,,,,,,,,,,
CARAMANTA,0,,,,,,,,,,,,,,,,,,,,,,,
CARCASI,1,,,,,,,,,,,,,,,,,,,,,,,
CAREPA,0,,,,,,,,,,,,,,,,,,,,,,,
CARMEN DE APICALA,1,,,,,,,,,,,,,,,,,,,,,,,
CARMEN DE BOLIVAR,0,,,,,,,,,,,,,,,,,,,,,,,
CARMEN DE CARUPA,1,,,,,,,,,,,,,,,,,,,,,,,
CARMEN DE VIBORAL,0,,,,,,,,,,,,,,,,,,,,,,,
CARMEN DEL DARIEN,1,,,,,,,,,,,,,,,,,,,,,,,
CAROLINA,1,,,,,,,,,,,,,,,,,,,,,,,
CARTAGENA,0,,,,,,,,,,,,,,,,,,,,,,,
CARTAGENA DEL CHAIRA,1,,,,,,,,,,,,,,,,,,,,,,,
CARTAGO,0,,,,,,,,,,,,,,,,,,,,,,,
CARURU,1,,,,,,,,,,,,,,,,,,,,,,,
CASABIANCA,1,,,,,,,,,,,,,,,,,,,,,,,
CASTILLA LA NUEVA,1,,,,,,,,,,,,,,,,,,,,,,,
CAUCASIA,0,,,,,,,,,,,,,,,,,,,,,,,
CEPITA,1,,,,,,,,,,,,,,,,,,,,,,,
CERETE,0,,,,,,,,,,,,,,,,,,,,,,,
CERINZA,0,,,,,,,,,,,,,,,,,,,,,,,
CERRITO,1,,,,,,,,,,,,,,,,,,,,,,,
CERRO SAN ANTONIO,0,,,,,,,,,,,,,,,,,,,,,,,
CERTEGUI,1,,,,,,,,,,,,,,,,,,,,,,,
CHACHAGUI,0,,,,,,,,,,,,,,,,,,,,,,,
CHAGUANI,1,,,,,,,,,,,,,,,,,,,,,,,
CHALAN,0,,,,,,,,,,,,,,,,,,,,,,,
CHAMEZA,1,,,,,,,,,,,,,,,,,,,,,,,
CHAPARRAL,0,,,,,,,,,,,,,,,,,,,,,,,
CHARALA,1,,,,,,,,,,,,,,,,,,,,,,,
CHARTA,1,,,,,,,,,,,,,,,,,,,,,,,
CHIA,0,,,,,,,,,,,,,,,,,,,,,,,
CHIBOLO,0,,,,,,,,,,,,,,,,,,,,,,,
CHIGORODO,0,,,,,,,,,,,,,,,,,,,,,,,
CHIMA,1,,,,,,,,,,,,,,,,,,,,,,,
CHIMA,1,,,,,,,,,,,,,,,,,,,,,,,
